fecha;provincia;Sexo;edad;personas_vacunadas_campaña_2025_acumulado;porcentaje_residentes_campaña_2025;sigla
2026-03-22;Ávila;Hombre;05-12;9;0.167722698;AV
2026-03-22;Ávila;Hombre;60-69;2223;17.39708875;AV
2026-03-22;Ávila;Hombre;>89;905;63.06620209;AV
2026-03-22;Ávila;Mujer;30-39;205;2.589364658;AV
2026-03-22;Ávila;Mujer;40-49;376;3.483094025;AV
2026-03-22;Ávila;Mujer;50-59;800;6.488240065;AV
2026-03-22;Ávila;Mujer;60-69;1943;16.36899747;AV
2026-03-22;Ávila;Mujer;70-79;3157;36.80345069;AV
2026-03-22;Ávila;Mujer;80-89;3199;50.86659246;AV
2026-03-22;Ávila;Mujer;>89;1733;61.1287478;AV
2026-03-22;Ávila;Hombre;0-4;2;0.080645161;AV
2026-03-22;Ávila;Hombre;20-29;85;1.117979745;AV
2026-03-22;Ávila;Hombre;30-39;140;1.687153531;AV
2026-03-22;Ávila;Hombre;50-59;712;5.601888277;AV
2026-03-22;Ávila;Hombre;70-79;3701;43.58219501;AV
2026-03-22;Ávila;Mujer;05-12;4;0.080224629;AV
2026-03-22;Ávila;Mujer;13-19;25;0.487614589;AV
2026-03-22;Ávila;Mujer;20-29;109;1.565642057;AV
2026-03-22;Ávila;Hombre;13-19;36;0.636942675;AV
2026-03-22;Ávila;Hombre;40-49;301;2.659010601;AV
2026-03-22;Ávila;Hombre;80-89;2601;56.00775194;AV
2026-03-22;Ávila;Mujer;0-4;0;0.0;AV
2026-03-22;Burgos;Hombre;20-29;138;0.754428165;BU
2026-03-22;Burgos;Hombre;80-89;5889;63.69929692;BU
2026-03-22;Burgos;Mujer;05-12;13;0.110328439;BU
2026-03-22;Burgos;Mujer;20-29;263;1.613496933;BU
2026-03-22;Burgos;Mujer;60-69;4071;15.66190898;BU
2026-03-22;Burgos;Hombre;13-19;71;0.547670472;BU
2026-03-22;Burgos;Hombre;30-39;261;1.314331755;BU
2026-03-22;Burgos;Hombre;50-59;1490;5.139880644;BU
2026-03-22;Burgos;Hombre;60-69;4673;17.6886971;BU
2026-03-22;Burgos;Hombre;>89;1668;70.82802548;BU
2026-03-22;Burgos;Mujer;>89;4090;69.99828855;BU
2026-03-22;Burgos;Hombre;0-4;4;0.07029877;BU
2026-03-22;Burgos;Hombre;05-12;21;0.167973124;BU
2026-03-22;Burgos;Hombre;40-49;639;2.403068707;BU
2026-03-22;Burgos;Hombre;70-79;8450;45.48390569;BU
2026-03-22;Burgos;Mujer;0-4;4;0.075800644;BU
2026-03-22;Burgos;Mujer;13-19;68;0.559486589;BU
2026-03-22;Burgos;Mujer;30-39;455;2.491785323;BU
2026-03-22;Burgos;Mujer;40-49;887;3.491026448;BU
2026-03-22;Burgos;Mujer;50-59;1700;6.056503616;BU
2026-03-22;Burgos;Mujer;70-79;7305;38.19208449;BU
2026-03-22;Burgos;Mujer;80-89;7385;56.95226344;BU
2026-03-22;Castilla y León;Hombre;0-4;39;0.093084707;Castilla y LE
2026-03-22;Castilla y León;Hombre;30-39;2225;3.206074489;Castilla y LE
2026-03-22;Castilla y León;Hombre;70-79;57321;37.79893061;Castilla y LE
2026-03-22;Castilla y León;Mujer;05-12;127;0.195190663;Castilla y LE
2026-03-22;Castilla y León;Mujer;20-29;1934;1.388436924;Castilla y LE
2026-03-22;Castilla y León;Mujer;30-39;3792;2.469895439;Castilla y LE
2026-03-22;Castilla y León;Mujer;60-69;30402;17.87227783;Castilla y LE
2026-03-22;Castilla y León;Mujer;70-79;51601;41.70888045;Castilla y LE
2026-03-22;Castilla y León;Mujer;80-89;52531;57.14015256;Castilla y LE
2026-03-22;Castilla y León;Mujer;>89;28038;68.4951903;Castilla y LE
2026-03-22;Castilla y León;Hombre;60-69;34262;16.73427656;Castilla y LE
2026-03-22;Castilla y León;Hombre;80-89;41190;54.27731666;Castilla y LE
2026-03-22;Castilla y León;Mujer;0-4;33;0.101405186;Castilla y LE
2026-03-22;Castilla y León;Mujer;13-19;507;0.669278695;Castilla y LE
2026-03-22;Castilla y León;Hombre;05-12;165;0.1745515;Castilla y LE
2026-03-22;Castilla y León;Hombre;13-19;540;0.669260494;Castilla y LE
2026-03-22;Castilla y León;Hombre;20-29;1191;1.788076364;Castilla y LE
2026-03-22;Castilla y León;Hombre;40-49;5062;3.984311957;Castilla y LE
2026-03-22;Castilla y León;Hombre;50-59;11368;6.620446397;Castilla y LE
2026-03-22;Castilla y León;Hombre;>89;12938;67.62661131;Castilla y LE
2026-03-22;Castilla y León;Mujer;40-49;6735;3.45207427;Castilla y LE
2026-03-22;Castilla y León;Mujer;50-59;12569;6.293776345;Castilla y LE
2026-03-22;León;Hombre;0-4;6;0.100217137;LE
2026-03-22;León;Hombre;70-79;9648;39.9933676;LE
2026-03-22;León;Hombre;>89;2583;66.29876797;LE
2026-03-22;León;Mujer;0-4;6;0.109051254;LE
2026-03-22;León;Hombre;05-12;21;0.162438119;LE
2026-03-22;León;Hombre;30-39;282;1.266163793;LE
2026-03-22;León;Hombre;50-59;1680;4.744288498;LE
2026-03-22;León;Mujer;30-39;537;2.556534159;LE
2026-03-22;León;Mujer;40-49;959;3.026191228;LE
2026-03-22;León;Mujer;50-59;1828;5.08908686;LE
2026-03-22;León;Hombre;13-19;48;0.359389039;LE
2026-03-22;León;Hombre;20-29;125;0.626597824;LE
2026-03-22;León;Hombre;40-49;705;2.223133199;LE
2026-03-22;León;Hombre;60-69;5748;16.23270263;LE
2026-03-22;León;Hombre;80-89;7301;55.89924202;LE
2026-03-22;León;Mujer;05-12;23;0.191730577;LE
2026-03-22;León;Mujer;13-19;45;0.352692217;LE
2026-03-22;León;Mujer;20-29;213;1.160130719;LE
2026-03-22;León;Mujer;60-69;4885;13.41959233;LE
2026-03-22;León;Mujer;70-79;8893;32.56912653;LE
2026-03-22;León;Mujer;80-89;9692;48.45030994;LE
2026-03-22;León;Mujer;>89;5576;62.08662732;LE
2026-03-22;Palencia;Hombre;30-39;184;2.197014925;PA
2026-03-22;Palencia;Hombre;70-79;3962;45.07907612;PA
2026-03-22;Palencia;Hombre;>89;767;72.4952741;PA
2026-03-22;Palencia;Mujer;20-29;90;1.342682381;PA
2026-03-22;Palencia;Mujer;60-69;1850;14.25709001;PA
2026-03-22;Palencia;Mujer;70-79;3246;35.5181092;PA
2026-03-22;Palencia;Mujer;>89;1951;67.50865052;PA
2026-03-22;Palencia;Hombre;0-4;5;0.207986689;PA
2026-03-22;Palencia;Hombre;05-12;13;0.25757876;PA
2026-03-22;Palencia;Hombre;13-19;35;0.709076175;PA
2026-03-22;Palencia;Hombre;20-29;113;1.55862069;PA
2026-03-22;Palencia;Hombre;40-49;370;3.27636589;PA
2026-03-22;Palencia;Hombre;80-89;2473;59.67664093;PA
2026-03-22;Palencia;Mujer;05-12;17;0.360016942;PA
2026-03-22;Palencia;Mujer;30-39;232;3.016905072;PA
2026-03-22;Palencia;Mujer;50-59;814;6.788990826;PA
2026-03-22;Palencia;Hombre;50-59;840;6.718924972;PA
2026-03-22;Palencia;Hombre;60-69;2248;17.28964775;PA
2026-03-22;Palencia;Mujer;0-4;4;0.182648402;PA
2026-03-22;Palencia;Mujer;13-19;27;0.5841627;PA
2026-03-22;Palencia;Mujer;40-49;421;3.876611418;PA
2026-03-22;Palencia;Mujer;80-89;3195;52.20588235;PA
2026-03-22;Salamanca;Hombre;0-4;9;0.190677966;SA
2026-03-22;Salamanca;Hombre;05-12;32;0.324313368;SA
2026-03-22;Salamanca;Hombre;30-39;340;2.045235804;SA
2026-03-22;Salamanca;Hombre;60-69;4239;17.35943323;SA
2026-03-22;Salamanca;Mujer;20-29;327;2.112130216;SA
2026-03-22;Salamanca;Mujer;40-49;985;4.459031236;SA
2026-03-22;Salamanca;Mujer;70-79;6990;36.32867315;SA
2026-03-22;Salamanca;Hombre;13-19;68;0.627943485;SA
2026-03-22;Salamanca;Hombre;40-49;711;3.26416307;SA
2026-03-22;Salamanca;Hombre;50-59;1481;5.919264588;SA
2026-03-22;Salamanca;Hombre;70-79;7396;44.12624545;SA
2026-03-22;Salamanca;Mujer;13-19;76;0.7555423;SA
2026-03-22;Salamanca;Mujer;30-39;610;3.734541447;SA
2026-03-22;Salamanca;Hombre;20-29;158;0.988859682;SA
2026-03-22;Salamanca;Hombre;80-89;5843;57.48720976;SA
2026-03-22;Salamanca;Hombre;>89;2030;68.76693767;SA
2026-03-22;Salamanca;Mujer;0-4;8;0.181077411;SA
2026-03-22;Salamanca;Mujer;05-12;16;0.17015846;SA
2026-03-22;Salamanca;Mujer;50-59;1727;6.550102405;SA
2026-03-22;Salamanca;Mujer;60-69;3791;15.08255421;SA
2026-03-22;Salamanca;Mujer;80-89;7511;51.72865014;SA
2026-03-22;Salamanca;Mujer;>89;4240;67.49442853;SA
2026-03-22;Segovia;Hombre;0-4;1;0.037965072;SE
2026-03-22;Segovia;Hombre;05-12;14;0.253531329;SE
2026-03-22;Segovia;Hombre;13-19;51;0.89223233;SE
2026-03-22;Segovia;Hombre;20-29;94;1.112689394;SE
