﻿AREA DE SALUD;NOMBRE PAC;NOMBRE DE CENTRO DE GUARDIA;HORARIO;Codigo Zona;ZONA BASICA DE SALUD;UBICACIÓN;DIRECCION;LOCALIDAD;CODPOSTAL;MUNICIPIO;PROVINCIA;COORDENADAS;Column 14
Ávila;BARCO DE AVILA EL;;15-8h laborables y 8-8 h SDF;170108;El Barco de Ávila;Centro Salud Barco De Ávila;C/ De Las Eras, S/N.;Barco De Ávila (El);05600;Barco de Ávila, El;Ávila;40.3574477, -5.5200847;
Ávila;AVILA RURAL;;15-8h laborables y 8-8 h SDF;170105;Ávila Rural;Centro Salud Ávila Rural;C/ Santa Fé Esquina Madrigal, S/N;Ávila;05003;Ávila;Ávila;40.6505777, -4.684595700000001;
Ávila;GREDOS;;15-8h laborables y 8-8 h SDF;170113;Gredos;Centro Salud Gredos;C/ Las Mozas, S/N;Navarredonda De Gredos;05635;Navarredonda de Gredos;Ávila;40.3615876, -5.1312498;
Ávila;INTEGRADO AVILA;;15-8h laborables y 8-8 h SDF;170103;Ávila Estacion;Centro De Especialidades Periféricas;C/ Cuartel De La Montaña, Nº 13;Ávila;05001;Ávila;Ávila;40.65661230000001, -4.6854968;
Ávila;INTEGRADO AVILA;;15-8h laborables y 8-8 h SDF;170104;Ávila Norte;Centro De Especialidades Periféricas;C/ Cuartel De La Montaña, Nº 13;Ávila;05001;Ávila;Ávila;40.65661230000001, -4.6854968;
Ávila;CANDELEDA;;15-8h laborables y 8-8 h SDF;170110;Candeleda;Centro Salud Candeleda;C/ Chilla, S/N;Candeleda;05480;Candeleda;Ávila;40.1537804, -5.2441615;
Ávila;BURGOHONDO;;15-8h laborables y 8-8 h SDF;170109;Burgohondo;Centro Salud Burgohondo;Plaza Mayor, S/N;Burgohondo;05113;Burgohondo;Ávila;40.4145268, -4.7856637;
Ávila;CEBREROS;;15-8h laborables y 8-8 h SDF;170111;Cebreros;Centro Salud Cebreros;Plaza De La Constitución, S/N.;Cebreros;05260;Cebreros;Ávila;40.459323, -4.4642354;
Ávila;MOMBELTRAN;;15-8h laborables y 8-8 h SDF;170116;Mombeltran;Centro Salud Mombeltran;C/ Jose Manuel Fernandez Santiago, S/N;Mombeltrán;05410;Mombeltrán;Ávila;40.2585881, -5.016031600000001;
Ávila;PIEDRAHITA;;15-8h laborables y 8-8 h SDF;170117;Piedrahíta;Centro Salud Piedrahíta;Plaza Nueva De La Villa, S/N;Piedrahíta;05500;Piedrahíta;Ávila;40.46252399999999, -5.326505699999999;
Ávila;INTEGRADO AVILA;;15-8h laborables y 8-8 h SDF;170107;Ávila Sur Oeste;Centro De Especialidades Periféricas;C/ Cuartel De La Montaña, Nº 13;Ávila;05001;Ávila;Ávila;40.65661230000001, -4.6854968;
Ávila;INTEGRADO AVILA;;15-8h laborables y 8-8 h SDF;170122;Ávila Sur Este;Centro De Especialidades Periféricas;C/ Cuartel De La Montaña, Nº 13;Ávila;05001;Ávila;Ávila;40.65661230000001, -4.6854968;
Ávila;MUÑICO;;15-8h laborables y 8-8 h SDF;170121;Muñico;Centro Salud Muñico;C/ De La Salud, S/N.;Muñico;05144;Muñico;Ávila;40.7072854, -5.0279986;
Ávila;ARENAS DE SAN PEDRO;;15-8h laborables y 8-8 h SDF;170101;Arenas De San Pedro;Centro Salud Arenas De San Pedro;C/ Pintor Martínez Vazquez, Nº 21;Arenas De San Pedro;05400;Arenas de San Pedro;Ávila;40.2118076, -5.0853364;
Ávila;AREVALO;;15-8h laborables y 8-8 h SDF;170102;Arevalo;Centro Salud Arévalo;Avda. Emilio Romero, S/N.;Arévalo;05200;Arévalo;Ávila;41.0549828, -4.7135016;
Ávila;LANZAHITA;;15-8h laborables y 8-8 h SDF;170106;Lanzahita;Centro Salud Lanzahíta;C/ Felipe Velasco, S/N;Lanzahíta;05490;Lanzahíta;Ávila;40.204475, -4.9371192;
Ávila;MADRIGAL DE LAS ALTAS TORRES;;15-8h laborables y 8-8 h SDF;170115;Madrigal De Las Altas Torres;Centro Salud Madrigal De Las Altas Torres;C/ Isabel La Catolica, S/N;Madrigal De Las Altas Torres;05220;Madrigal de las Altas Torres;Ávila;41.0880963, -4.9957425;
Ávila;NAVAS DEL MARQUES LAS;;15-8h laborables y 8-8 h SDF;170114;Las Navas del Marqués;Centro Salud Las Navas Del Marqués;Tsia. Grupo Escolar, Nº 10;Las Navas Del Marqués;05230;Navas del Marqués, Las;Ávila;40.6057673, -4.3328331;
Ávila;FONTIVEROS;;15-8h laborables y 8-8 h SDF;170112;Fontiveros;Centro Salud Fontiveros;Paseo Chico, Nº 1;Fontiveros;05310;Fontiveros;Ávila;40.92827520000001, -4.963254399999999;
Ávila;MUÑANA;;15-8h laborables y 8-8 h SDF;170120;Muñana;Centro Salud Muñana;C/ Cantarranas, S/N;Muñana;05540;Muñana;Ávila;40.5905737, -5.015191800000001;
Ávila;SAN PEDRO DEL ARROYO;;15-8h laborables y 8-8 h SDF;170118;San Pedro Del Arroyo;Centro Salud San Pedro Del Arroyo;Ctra. Villaflor, S/N.;San Pedro Del Arroyo;05350;San Pedro del Arroyo;Ávila;40.8011256, -4.869119100000001;
Ávila;SOTILLO DE LA ADRADA;;15-8h laborables y 8-8 h SDF;170119;Sotillo de La Adrada;Centro Salud Sotillo De La Adrada;Plaza De La Concordia, S/N;Sotillo de La Adrada;05420;Sotillo de la Adrada;Ávila;40.2934875, -4.5836429;
Ávila;;EL BARRACO;15-8h laborables y 8-8 h SDF;170105;Ávila Rural;CONSULTORIO LOCAL EL BARRACO;CL LA VIRGEN, Nº 1;BARRACO (EL);05110;Barraco, El;ÁVILA;40.475155, -4.6410652;
Burgos;INTEGRADO BURGOS;;15-8h laborables y 8-8 h SDF;170213;Gamonal Iii - Las Torres;Antiguo Hospital Divino Valles;Avenida Islas Baleares, 1. C.P.: 09006 Burgos.;Burgos;09006;Burgos;Burgos;42.359995, -3.6916425;
Burgos;INTEGRADO BURGOS;;15-8h laborables y 8-8 h SDF;170236;Casa la Vega;Antiguo Hospital Divino Valles;Avenida Islas Baleares, 1. C.P.: 09006 Burgos.;Burgos;09006;Burgos;Burgos;42.359995, -3.6916425;
Burgos;VALLE DE MENA;;15-8h laborables y 8-8 h SDF;170234;Valle de Mena;Centro Salud Villasana De Mena;C/ Nocedera, S/N;Villasana de Mena;09580;Valle de Mena;Burgos;43.09913479999999, -3.2827556;
Burgos;VALLE DE VALDEBEZANA;;15-8h laborables y 8-8 h SDF;170232;Valle de Valdebezana;Centro Salud Soncillo;Avda. Rguez. Valcarcel, S/N;Soncillo;09572;Valle de Valdebezana;Burgos;42.9675872, -3.7827032;
Burgos;MIRANDA;;15-8h laborables y 8-8 h SDF;170221;Miranda Este;Centro Salud Miranda Este;C/Ciudad De Vierzón, Nº 11;Miranda De Ebro;09200;Miranda de Ebro;Burgos;42.6839565, -2.9416152;
Burgos;INTEGRADO BURGOS;;15-8h laborables y 8-8 h SDF;170206;Burgos Centro A - Cristobal Acosta;Antiguo Hospital Divino Valles;Avenida Islas Baleares, 1. C.P.: 09006 Burgos.;Burgos;09006;Burgos;Burgos;42.359995, -3.6916425;
Burgos;SEDANO;;15-8h laborables y 8-8 h SDF;170229;Sedano;Centro Salud Sedano;C/ Las Eras, S/N;Sedano;09142;Valle de Sedano;Burgos;42.7129335, -3.7484128;
Burgos;VALLE DE LOSA;;15-8h laborables y 8-8 h SDF;170230;Valle de Losa;Centro Salud Quincoces De Yuso;Barrio De San Pedro, S/N;Quincoces de Yuso;09510;Valle de Losa;Burgos;42.9897321, -3.2444118;
Burgos;ARANDA;;15-8h laborables y 8-8 h SDF;170202;Aranda de Duero Rural;Centro Salud Aranda Sur;C/ Burgo De Osma, Nº 53;Aranda De Duero;09400;Aranda de Duero;Burgos;41.666311, -3.6876176;
Burgos;BURGOS RURAL NORTE SUR;;15-8h laborables y 8-8 h SDF;170208;Burgos Rural Norte;Centro Salud Burgos Rural Sur;C/ Luis Cernuda, Nº 1-11;Burgos;09006;Burgos;Burgos;42.3530842, -3.6806559;
Burgos;ESPINOSA DE LOS MONTEROS;;15-8h laborables y 8-8 h SDF;170211;Espinosa De Los Monteros;Centro Salud Espinosa De Los Monteros;C/ El Progreso, S/N;Espinosa De Los Monteros;09560;Espinosa de los Monteros;Burgos;43.0754869, -3.5492981;
Burgos;INTEGRADO BURGOS;;15-8h laborables y 8-8 h SDF;170207;Burgos Centro B - I. Lopez Saiz;Antiguo Hospital Divino Valles;Avenida Islas Baleares, 1. C.P.: 09006 Burgos.;Burgos;09006;Burgos;Burgos;42.359995, -3.6916425;
Burgos;INTEGRADO BURGOS;;15-8h laborables y 8-8 h SDF;170237;Las Huelgas;Antiguo Hospital Divino Valles;Avenida Islas Baleares, 1. C.P.: 09006 Burgos.;Burgos;09006;Burgos;Burgos;42.359995, -3.6916425;
Burgos;BELORADO;;15-8h laborables y 8-8 h SDF;170204;Belorado;Centro Salud Belorado;C/ Las Cercas, Nº 2;Belorado;09250;Belorado;Burgos;42.4199531, -3.190815;
Burgos;MELGAR DE FERNAMENTAL;;15-8h laborables y 8-8 h SDF;170220;Melgar De Fernamental;Centro Salud Melgar De Fernamental;C/ Cruz De La Ribera, S/N;Melgar De Fernamental;09100;Melgar de Fernamental;Burgos;42.4038866, -4.2478389;
Burgos;INTEGRADO BURGOS;;15-8h laborables y 8-8 h SDF;170217;Comuneros Los;Antiguo Hospital Divino Valles;Avenida Islas Baleares, 1. C.P.: 09006 Burgos.;Burgos;09006;Burgos;Burgos;42.359995, -3.6916425;
Burgos;INTEGRADO BURGOS;;15-8h laborables y 8-8 h SDF;170228;Santa Clara;Antiguo Hospital Divino Valles;Avenida Islas Baleares, 1. C.P.: 09006 Burgos.;Burgos;09006;Burgos;Burgos;42.359995, -3.6916425;
