Mes de facturaciÛn;Provincia;¡rea;Edad;Sexo;N∫ envases;Importe
2026-05-31;¡vila;¡vila;100;Hombre;113;1865.16
2026-05-31;¡vila;¡vila;100;Mujer;312;4221.14
2026-05-31;¡vila;¡vila;102;Mujer;124;1107.98
2026-05-31;¡vila;¡vila;103;Hombre;5;38.19
2026-05-31;¡vila;¡vila;105;Mujer;25;348.88
2026-05-31;¡vila;¡vila;106;Mujer;10;185.07
2026-05-31;¡vila;¡vila;11;Mujer;426;5529.29
2026-05-31;¡vila;¡vila;12;Hombre;634;6829.65
2026-05-31;¡vila;¡vila;14;Hombre;575;7832.85
2026-05-31;¡vila;¡vila;14;Mujer;405;3734.63
2026-05-31;¡vila;¡vila;15;Hombre;528;7898.0
2026-05-31;¡vila;¡vila;20;Mujer;481;5394.57
2026-05-31;¡vila;¡vila;21;Mujer;505;5990.63
2026-05-31;¡vila;¡vila;25;Mujer;659;7740.33
2026-05-31;¡vila;¡vila;26;Mujer;692;7060.2
2026-05-31;¡vila;¡vila;3;Mujer;236;2020.79
2026-05-31;¡vila;¡vila;30;Hombre;347;4641.69
2026-05-31;¡vila;¡vila;35;Hombre;535;9879.14
2026-05-31;¡vila;¡vila;38;Hombre;676;9634.24
2026-05-31;¡vila;¡vila;40;Mujer;1207;12767.91
2026-05-31;¡vila;¡vila;41;Hombre;918;15740.23
2026-05-31;¡vila;¡vila;45;Hombre;1094;16111.56
2026-05-31;¡vila;¡vila;46;Hombre;1303;19216.28
2026-05-31;¡vila;¡vila;46;Mujer;1868;22860.22
2026-05-31;¡vila;¡vila;47;Hombre;1451;20803.55
2026-05-31;¡vila;¡vila;48;Hombre;1580;19431.65
2026-05-31;¡vila;¡vila;5;Mujer;287;2605.24
2026-05-31;¡vila;¡vila;50;Hombre;1864;28519.36
2026-05-31;¡vila;¡vila;50;Mujer;2463;28175.59
2026-05-31;¡vila;¡vila;51;Hombre;1903;28227.29
2026-05-31;¡vila;¡vila;53;Hombre;2082;40075.66
2026-05-31;¡vila;¡vila;53;Mujer;2749;31953.58
2026-05-31;¡vila;¡vila;55;Hombre;2167;33559.97
2026-05-31;¡vila;¡vila;58;Hombre;2817;46532.2
2026-05-31;¡vila;¡vila;6;Hombre;325;2723.92
2026-05-31;¡vila;¡vila;64;Hombre;4004;64031.71
2026-05-31;¡vila;¡vila;65;Hombre;4524;82990.81
